Character,Gender,TitleOrClass,Role
غلام محمد (گلاسگو ساتھی),Male,MigrantWorker,Minor
میری,Female,WorkingClass,Protagonist
جمیکے جارج,Male,JamaicanWorker,Support
جمیکے جارج کا بھائی,Male,JamaicanWorker,Minor
میری کا باپ,Male,WorkingClass-Drunk,Minor
میری کی ماں,Female,WorkingClassWoman,Minor
میری کا بھائی,Male,WorkingClassYouth,Minor
آئرش دکاندار,Male,Shopkeeper,Minor
آئرش دکاندار کی بیوی,Female,Shopkeeper-Wife,Minor
جمیکا کے کالے,Unknown,JamaicanGroup,Minor
اکرم میر پوری,Male,Fixer-SmoglerSide,Support
شیر باز میر پوری,Male,MigrantWorker,Minor
مائیکل جارج,Male,Child-MixedHeritage,Support
ڈیوڈ (میری کا بیٹا),Male,Child,Minor
میری کے دوسرے بچے,Unknown,Children,Minor
میری کا آئرش ساتھی,Male,IrishPartner,Support
مارکیٹ کی بوڑھی عورت,Female,Passerby,Minor
سلطان حسین کے پروفیسر,Male,Professor,Support
بلانکا,Female,Student,Support
ازابلا,Female,Student,Support
بلانکا کے والد,Male,MiddleClassFather,Minor
بلانکا کی ماں,Female,MiddleClassMother,Minor
بلانکا کے بھائی,Male,MiddleClassYouth,Minor
بائرن,Male,Student-Friend,Support
ڈیویڈ نٹر جیئرلڈ بائرن,Male,Student,Support
جین,Female,Student,Minor
چین,Female,Student,Minor
میرو,Female,Student,Minor
رابرٹ,Male,Student,Minor
میٹرن,Female,Matron,Minor
انیڈ سی گل,Female,Student-HostelResident,Support
محترمہ سی گل,Female,Teacher-HostelWarden,Support
ہنگیرین خاوند,Male,Refugee-Husband,Support
ہنگیرین بیوی,Female,Refugee-Wife,Support
اینا ہیمبرگ,Female,ShipHostess,Support
نوجوان جرمن لڑکا,Male,Passenger-Youth,Minor
جرمن لڑکی (برج ساتھی),Female,Passenger-Youth,Minor
ہنگیرین لڑکا,Male,RefugeeChild,Minor
دیورن کے دو بوڑھے,Male,OldMenGroup,Minor
جہاز کا نوجوان افسر,Male,ShipOfficer,Minor
پہلے سال کی لڑکیاں (فراش),Female,FreshmanGroup,Minor
سینئر لڑکیاں,Female,SeniorStudentsGroup,Minor
راوی کی بیوی (تہران واقعہ),Female,Housewife,Support
لاہور کا بوڑھا شخص,Male,OldMan,Minor
فقیر,Male,Beggar,Minor
گوالا,Male,Milkman,Minor
نوعمر لڑکا (برآمدہ),Male,NeighbourBoy,Minor
ہیڈ کلرک,Male,OfficeHeadClerk,Minor
چپراسی,Male,Peon,Minor
ٹا پسٹ,Male,Typist,Minor
ڈسپیچر,Male,OfficeWorker,Minor
کلرک,Male,ClerkGroup,Minor
کتا,Unknown,Animal,Minor
بلی,Unknown,Animal,Minor
نیولا,Unknown,Animal,Minor
کبوتر,Unknown,Bird,Minor
چڑیاں,Unknown,Bird,Minor
مینا,Unknown,Bird,Minor
طوطا,Unknown,Bird,Minor
کتیا,Unknown,Animal,Minor
پلا,Unknown,Animal,Minor
